reference_sequence_name	code	database	original_taxonomic_assignation
Archaea_Crenarchaeota_CrenarchaeotaX_Aeropyrum_pernix_NR102988	NR102988	NCBI	NR_102988.2 Aeropyrum pernix strain K1 16S ribosomal RNA, complete sequence
Archaea_Crenarchaeota_CrenarchaeotaX_Pyrobaculum_aerophilum_NR102764	NR102764	NCBI	NR_102764.2 Pyrobaculum aerophilum strain IM2 16S ribosomal RNA, complete sequence
Archaea_Euryarchaeota_EuryarchaeotaX_Archaeoglobus_fulgidus_AB819822	AB819822	NCBI	AB819822.1 Archaeoglobus fulgidus gene for 16S ribosomal RNA, partial sequence, strain: KB8
Archaea_Euryarchaeota_EuryarchaeotaX_Methanocaldococcus_jannaschii_NR074233	NR074233	NCBI	NR_074233.1 Methanocaldococcus jannaschii strain DSM 2661 16S ribosomal RNA gene, complete sequence
Archaea_Euryarchaeota_EuryarchaeotaX_Methanococcus_maripaludis_AF005049	AF005049	NCBI	AF005049.1 Methanococcus maripaludis 16S ribosomal RNA gene, complete sequence
Archaea_Euryarchaeota_EuryarchaeotaX_Methanopyrus_kandleri_NR074539	NR074539	NCBI	NR_074539.1 Methanopyrus kandleri strain AV19 16S ribosomal RNA gene, complete sequence
Archaea_Euryarchaeota_EuryarchaeotaX_Pyrococcus_furiosus_NR074375	NR074375	NCBI	NR_074375.1 Pyrococcus furiosus strain DSM 3638 16S ribosomal RNA gene, complete sequence
Archaea_Thaumarchaeota_ThaumarchaeotaX_Thaumarchaeota_archaeon_NZCBTY010000008	NZCBTY010000008	NCBI	NZ_CBTY010000008.1:c402997-401524 Thaumarchaeota archaeon N4, whole genome shotgun sequence
Bacteria_Acidobacteria_AcidobacteriaX_Acidobacteria_bacterium_KX443571	KX443571	ENA	ENA|KX443571|KX443571.1 Acidobacteria bacterium A_24_SHP_5_238 16S ribosomal RNA gene, complete sequence. 
Bacteria_Acidobacteria_AcidobacteriaX_Acidobacterium_capsulatum_AB561885	AB561885	ENA	ENA|AB561885|AB561885.1 Acidobacterium capsulatum gene for 16S rRNA, partial sequence. 
Bacteria_Acidobacteria_AcidobacteriaX_Terriglobus_saanensis_CP002467	CP002467	NCBI	CP002467.1:c3874013-3872526 Terriglobus saanensis SP1PR4, complete genome
Bacteria_Actinobacteria_ActinobacteriaX_Acidimicrobium_ferrooxidans_NR074390	NR074390	NCBI	NR_074390.1 Acidimicrobium ferrooxidans DSM 10331 16S ribosomal RNA, partial sequence
Bacteria_Actinobacteria_ActinobacteriaX_Arthrobacter_sp_CP019304	CP019304	NCBI	CP019304.1:c523824-522290 Arthrobacter sp. QXT-31, complete genome
Bacteria_Actinobacteria_ActinobacteriaX_Mycobacterium_marinum_GU827997	GU827997	NCBI	GU827997.1 Mycobacterium marinum strain GR-2374 16S ribosomal RNA gene, partial sequence
Bacteria_Actinobacteria_ActinobacteriaX_Rhodococcus_marinonascens_X80617	X80617	ENA	ENA|X80617|X80617.1 Rhodococcus marinonascens 16S rRNA gene, strain DSM43752T 
Bacteria_Actinobacteria_ActinobacteriaX_Streptomyces_laurentii_AP017424	AP017424	NCBI	AP017424.1:954628-956156 Streptomyces laurentii DNA, complete genome, strain: ATCC 31255
Bacteria_Actinobacteria_ActinobacteriaX_Verrucosispora_maris_LMWI01000002	LMWI01000002	ENA	ENA|LMWI01000002.1:4062773..4064294:rRNA|LMWI01000002.1:4062773..4064294:rRNA.1 Verrucosispora maris 16S ribosomal RNA 
Bacteria_Aminicenantes_AminicenantesX_Moorella_glycerini_NR029198	NR029198	NCBI	NR_029198.1 Moorella glycerini strain JW/AS-Y6 16S ribosomal RNA gene, complete sequence
Bacteria_Aquificales_AquificalesX_Desulfobacterium_autotrophicum_NR074942	NR074942	NCBI	NR_074942.1 Desulfobacterium autotrophicum strain HRM2 16S ribosomal RNA gene, complete sequence
Bacteria_Aquificales_AquificalesX_Hydrogenobacter_thermophilus_CP002221	CP002221	NCBI	CP002221.1:c248300-246761 Hydrogenobacter thermophilus TK-6, complete genome
Bacteria_Armatimonadetes_ArmatimonadetesX_Armatimonas_rosea_AB529679	AB529679	NCBI	AB529679.1 Armatimonas rosea gene for 16S ribosomal RNA, partial sequence
Bacteria_Bacteroidetes_BacteroidetesX_Bacteroides_mediterraneensis_NZLT635783	NZLT635783	NCBI	NZ_LT635783.1:790714-792251 Bacteroides mediterraneensis strain Marseille-P2644, whole genome shotgun sequence
Bacteria_Bacteroidetes_BacteroidetesX_Cellulophaga_lytica_NR074464	NR074464	NCBI	NR_074464.1 Cellulophaga lytica strain DSM 7489 16S ribosomal RNA gene, complete sequence
Bacteria_Bacteroidetes_BacteroidetesX_Cytophaga_hutchinsonii_NR102866	NR102866	NCBI	NR_102866.1 Cytophaga hutchinsonii strain ATCC 33406 16S ribosomal RNA gene, complete sequence
Bacteria_Bacteroidetes_BacteroidetesX_Zobellia_galactanovorans_NR074684	NR074684	NCBI	NR_074684.1 Zobellia galactanivorans strain DsiJ 16S ribosomal RNA gene, complete sequence
Bacteria_Chlamydophyla_ChlamydophylaX_Chlamydia_trachomatis_NC010287	NC010287	NCBI	NC_010287.1:133971-135520 Chlamydia trachomatis 434/Bu chromosome, complete genome
Bacteria_Chlamydophyla_ChlamydophylaX_Criblamydia_sequanensis_DQ124300	DQ124300	NCBI	DQ124300.1 Criblamydia sequanensis 16S ribosomal RNA gene, partial sequence
Bacteria_Chlamydophyla_ChlamydophylaX_Parachlamydia_acanthamoebae_NR026357	NR026357	NCBI	NR_026357.1 Parachlamydia acanthamoebae strain Bn9 16S ribosomal RNA gene, complete sequence
Bacteria_Chlamydophyla_ChlamydophylaX_Simkania_negevensis_NR074932	NR074932	NCBI	NR_074932.1 Simkania negevensis strain Z 16S ribosomal RNA gene, complete sequence
Bacteria_Chlamydophyla_ChlamydophylaX_Waddlia_chondrophila_NC014225	NC014225	NCBI	NC_014225.1:c1334089-1332532 Waddlia chondrophila WSU 86-1044, complete genome
Bacteria_Chlorobi_ChlorobiX_Chlorobium_limicola_NR074355	NR074355	NCBI	NR_074355.1 Chlorobium limicola strain DSM 245 16S ribosomal RNA gene, complete sequence
Bacteria_Chloroflexi_ChloroflexiX_Dehalococcoides_mccartyi_NZCP019999	NZCP019999	NCBI	NZ_CP019999.1:c831766-830272 Dehalococcoides mccartyi strain KBTCE1, complete genome
